SampleID	SampleName	Sex	Tissue	Treatment	TreatmentTissue
SRR6447272	17.2N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447273	17-2F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447274	15.2N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447275	15-2F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447276	7-1F	male	Fecal	Control	Fecal+Control
SRR6447277	7.1N	male	Nasal	Control	Nasal+Control
SRR6447278	9-1F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447279	9.1N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447286	15-3F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447287	45-1F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447288	45.1N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447289	43-1F	male	Fecal	Control	Fecal+Control
SRR6447290	43.1N	male	Nasal	Control	Nasal+Control
SRR6447291	44-1F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447292	44.1N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447293	39-1F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447294	39.1N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447295	40-1F	female	Fecal	Control	Fecal+Control
SRR6447296	40.1N	female	Nasal	Control	Nasal+Control
SRR6447297	58-5F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447298	58.5N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447299	5-5F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447300	53-5F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447301	53.5N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447302	51-5F	male	Fecal	Control	Fecal+Control
SRR6447303	23.7N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447304	23-7F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447305	22.7N	male	Nasal	Control	Nasal+Control
SRR6447306	22-7F	male	Fecal	Control	Fecal+Control
SRR6447307	19.7N	female	Nasal	Control	Nasal+Control
SRR6447308	19-7F	female	Fecal	Control	Fecal+Control
SRR6447309	17-7F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447310	1-7F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447311	59-5F	female	Fecal	Control	Fecal+Control
SRR6447312	59.5N	female	Nasal	Control	Nasal+Control
SRR6447313	47.1N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447314	47-1F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447315	49.1N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447316	49-1F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447317	5.1N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447318	50.1N	male	Nasal	Control	Nasal+Control
SRR6447319	50-1F	male	Fecal	Control	Fecal+Control
SRR6447320	51.1N	male	Nasal	Control	Nasal+Control
SRR6447321	51-1F	male	Fecal	Control	Fecal+Control
SRR6447322	5-1F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447323	15.3N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447324	19.4N	female	Nasal	Control	Nasal+Control
SRR6447325	19-4F	female	Fecal	Control	Fecal+Control
SRR6447326	14-4F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447327	1-4F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447328	12-4F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447329	14.4N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447330	17.4N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447331	17-4F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447332	15.4N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447333	15-4F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447334	5.2N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447335	50.2N	male	Nasal	Control	Nasal+Control
SRR6447336	49.2N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447337	49-2F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447338	51-2F	male	Fecal	Control	Fecal+Control
SRR6447339	5-2F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447340	50-2F	male	Fecal	Control	Fecal+Control
SRR6447341	51.2N	male	Nasal	Control	Nasal+Control
SRR6447342	53.2N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447343	53-2F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447344	36-5F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447345	30-6F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447346	27-2F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447347	27.2N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447348	26-2F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447349	26.2N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447350	25-2F	male	Fecal	Control	Fecal+Control
SRR6447351	25.2N	male	Nasal	Control	Nasal+Control
SRR6447352	24-2F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447353	24.2N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447354	12-1F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447355	12.1N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447356	28-2F	female	Fecal	Control	Fecal+Control
SRR6447357	28.2N	female	Nasal	Control	Nasal+Control
SRR6447358	43-5F	male	Fecal	Control	Fecal+Control
SRR6447359	43.5N	male	Nasal	Control	Nasal+Control
SRR6447360	44.6N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447361	44-6F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447362	43.6N	male	Nasal	Control	Nasal+Control
SRR6447363	43-6F	male	Fecal	Control	Fecal+Control
SRR6447364	47.6N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447365	47-6F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447366	45.6N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447367	45-6F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447368	49.6N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447369	49-6F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447370	22.1N	male	Nasal	Control	Nasal+Control
SRR6447371	22-1F	male	Fecal	Control	Fecal+Control
SRR6447372	14.6N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447373	12-6F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447374	15.6N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447375	14-6F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447376	11.6N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447377	10-6F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447378	12.6N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447379	11-6F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447380	24.1N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447381	1-6F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447382	15-6F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447383	36-6F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447384	50-4F	male	Fecal	Control	Fecal+Control
SRR6447385	51.4N	male	Nasal	Control	Nasal+Control
SRR6447386	5.4N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447387	50.4N	male	Nasal	Control	Nasal+Control
SRR6447388	49.4N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447389	49-4F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447390	47.4N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447391	47-4F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447392	45.4N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447393	45-4F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447394	26.1N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447395	6.4N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447396	60.4N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447397	59.4N	female	Nasal	Control	Nasal+Control
SRR6447398	59-4F	female	Fecal	Control	Fecal+Control
SRR6447399	58.4N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447400	58-4F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447401	53-4F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447402	5-4F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447403	51-4F	male	Fecal	Control	Fecal+Control
SRR6447404	53.4N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447405	24-1F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447406	17.3N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447407	33-3F	female	Fecal	Control	Fecal+Control
SRR6447408	33.3N	female	Nasal	Control	Nasal+Control
